player_id,Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Matches,league,saison
12de1b0d,369,Diego Moreira,BEL,"MF,DF",Strasbourg,19.0,2004.0,32,29,2568,28.5,2,7,9,2,0,0,4,1,0.07,0.25,0.32,0.07,0.32,Matches,ligue1,2024-2025
709d3f52,370,Gabriel Moscardo,BRA,MF,Reims,18.0,2005.0,6,0,84,0.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,ligue1,2024-2025
153e48e0,371,Yael Mouanga,FRA,DF,Montpellier,19.0,2005.0,14,10,946,10.5,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,Matches,ligue1,2024-2025
2591b066,372,Aimen Moueffek,FRA,MF,Saint-Étienne,23.0,2001.0,22,13,1039,11.5,0,1,1,0,0,0,2,0,0.0,0.09,0.09,0.0,0.09,Matches,ligue1,2024-2025
6ce43701,373,Youssoufa Moukoko,GER,FW,Nice,19.0,2004.0,11,2,204,2.3,2,1,3,2,0,0,0,0,0.88,0.44,1.32,0.88,1.32,Matches,ligue1,2024-2025
c37823fe,374,Louis Mouton,FRA,MF,Saint-Étienne,22.0,2002.0,24,12,1045,11.6,0,1,1,0,0,0,2,0,0.0,0.09,0.09,0.0,0.09,Matches,ligue1,2024-2025
bb461b8a,375,Ngal'Ayel Mukau,COD,MF,Lille,19.0,2004.0,22,14,1190,13.2,0,1,1,0,0,0,4,0,0.0,0.08,0.08,0.0,0.08,Matches,ligue1,2024-2025
2acf0cd7,376,Marshall Munetsi,ZIM,MF,Reims,28.0,1996.0,19,19,1692,18.8,4,2,6,4,0,0,5,0,0.21,0.11,0.32,0.21,0.32,Matches,ligue1,2024-2025
cd6a1a59,377,Almoatasem Al Musrati,LBY,MF,Monaco,28.0,1996.0,10,3,386,4.3,1,1,2,1,0,0,0,0,0.23,0.23,0.47,0.23,0.47,Matches,ligue1,2024-2025
ee158be5,378,Junior Mwanga,FRA,MF,Le Havre,21.0,2003.0,11,11,952,10.6,1,2,3,1,0,0,1,1,0.09,0.19,0.28,0.09,0.28,Matches,ligue1,2024-2025
ee158be5,379,Junior Mwanga,FRA,MF,Strasbourg,21.0,2003.0,8,2,296,3.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,ligue1,2024-2025
b1fe3000,380,Loïc N'Gatta,FRA,DF,Auxerre,20.0,2003.0,2,0,13,0.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,ligue1,2024-2025
